"LOCATION","Country","TL","Territory level","GEO","Geography","VAR","Variable","TIME","Time","Value","Flag Codes","Flags"
"JPN","Japan","FUA","Functional Urban Area","JPN05F","Sapporo","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",45,,
"GBR","United Kingdom","FUA","Functional Urban Area","UK560F","Oxford","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",61.8,,
"GBR","United Kingdom","FUA","Functional Urban Area","UK016F","Aberdeen","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",131,,
"USA","United States","FUA","Functional Urban Area","USA16F","San Diego","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",170,,
"USA","United States","FUA","Functional Urban Area","USA01F","New York (Greater)","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",55.7,,
"SVK","Slovak Republic","FUA","Functional Urban Area","SK002F","Košice","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",48.7,,
"ITA","Italy","FUA","Functional Urban Area","IT012F","Verona","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",35.8,,
"FRA","France","FUA","Functional Urban Area","FR069F","Saint-Brieuc","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",46.2,,
"JPN","Japan","FUA","Functional Urban Area","JPN50F","Hitachi","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",117,,
"GBR","United Kingdom","FUA","Functional Urban Area","UK559F","Middlesbrough","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",184,,
"GBR","United Kingdom","FUA","Functional Urban Area","UK552F","Reading","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",57.4,,
"NZL","New Zealand","FUA","Functional Urban Area","NZL05F","Tauranga","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",215,,
"ESP","Spain","FUA","Functional Urban Area","ES024F","Santa Cruz de Tenerife","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",36.7,,
"FRA","France","FUA","Functional Urban Area","FR076F","Annemasse-Geneva (French part)","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",45.9,,
"USA","United States","FUA","Functional Urban Area","USA55F","Douglas (NE)","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",370,,
"PRT","Portugal","FUA","Functional Urban Area","PT003F","Braga","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",39.1,,
"CAN","Canada","FUA","Functional Urban Area","CAN24F","Brantford","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",47.9,,
"MEX","Mexico","FUA","Functional Urban Area","MEX04F","Puebla","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",43,,
"JPN","Japan","FUA","Functional Urban Area","JPN23F","Toyohashi","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",74,,
"FRA","France","FUA","Functional Urban Area","FR004F","Marseille","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",43.4,,
"DEU","Germany","FUA","Functional Urban Area","DE083F","Münster","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",53.5,,
"JPN","Japan","FUA","Functional Urban Area","JPN17F","Kanazawa","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",14.6,,
"POL","Poland","FUA","Functional Urban Area","PL003F","Kraków","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",52.5,,
"MEX","Mexico","FUA","Functional Urban Area","MEX28F","Benito Juarez","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",27,,
"USA","United States","FUA","Functional Urban Area","USA164F","Linn","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",48.2,,
"GBR","United Kingdom","FUA","Functional Urban Area","UK024F","Worcester","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",150,,
"ITA","Italy","FUA","Functional Urban Area","IT073F","Bergamo","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",42.6,,
"USA","United States","FUA","Functional Urban Area","USA30F","Austin","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",229,,
"ITA","Italy","FUA","Functional Urban Area","IT006F","Genova","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",51.2,,
"ROU","Romania","FUA","Functional Urban Area","RO006F","Oradea","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",31.9,,
"AUS","Australia","FUA","Functional Urban Area","AUS14F","Geelong","GREEN_AREA_PC","Green area per capita (in sqm per capita)","2021","2021",178,,
"USA","United States","FUA","Functional Urban Area","USA201F","Comanche","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",45.9,,
"BEL","Belgium","FUA","Functional Urban Area","BE003F","Gent","GREEN_AREA_SH","Share of green areas in FUA's urban centres","2021","2021",42.2,,
